,Track,Artist,Genre,Album Title,Album Type,Release Date,Thumbnail,Acousticness,Danceability,Energy,Instrumentalness,Popularity,Speechiness,Track ID,Release Year
6861,Poker Face,Lady Gaga,"art pop, dance pop, pop",The Fame,album,2008-01-01,https://i.scdn.co/image/ab67616d00004851e691217483df8798445c82e2,0.118,0.851,0.806,1.64e-06,0.8282828282828283,0.0787,1QV6tiMFM6fSOKOGLMHYYg,2008
6862,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,"dance pop, miami hip hop, pop",Planet Pit (Deluxe Version),album,2011-06-17,https://i.scdn.co/image/ab67616d000048511dc7483a9fcfce54822a2f19,0.191,0.671,0.939,0.0,0.8484848484848485,0.161,4QNpBfC0zvjKqPJcyqBy9W,2011
6864,Bleeding Love,Leona Lewis,"british soul, dance pop, pop, talent show",Spirit,album,2007-01-01,https://i.scdn.co/image/ab67616d0000485134fd9eb8cd48e518598aec55,0.188,0.638,0.656,0.0,0.7777777777777778,0.0357,7wZUrN8oemZfsEd1CGkbXE,2007
6866,Replay,Iyaz,"dance pop, pop rap, post-teen pop",Replay,album,2009-08-18,https://i.scdn.co/image/ab67616d00004851ae7012fce99c2b2345b54f30,0.173,0.706,0.751,0.0,0.7878787878787878,0.0708,4E5P1XyAFtrjpiIxkydly4,2009
6867,Timber (feat. Ke$ha),Pitbull,"dance pop, miami hip hop, pop",Global Warming: Meltdown,album,2012-01-01,https://i.scdn.co/image/ab67616d0000485165045141bb6f165542741ded,0.0295,0.581,0.963,0.0,0.6363636363636364,0.0981,1Mb8WgET5ozEtG0zlibyUy,2012
6869,Riptide,Vance Joy,"folk-pop, modern rock",Dream Your Life Away,album,2014-09-05,https://i.scdn.co/image/ab67616d00004851d3dec4ae5b0234ab749b4b44,0.46,0.502,0.719,0.0,0.7171717171717171,0.0349,3R1Xa7LkesYpNI3v6fslKi,2014
6872,Bass,Omarion,"dance pop, hip pop, r&b, rap, southern hip hop, trap, urban contemporary",Full Circle : Sonic Book 1,album,2023-05-05,https://i.scdn.co/image/ab67616d000048515bc116f1a9831e5f35abd60e,0.00288,0.735,0.714,0.000394,0.6060606060606061,0.0972,05brXUXd6rzSj6eJDgRCjx,2023
6873,Just the Way You Are,Bruno Mars,"dance pop, pop",Doo-Wops & Hooligans,album,2010-10-05,https://i.scdn.co/image/ab67616d00004851f6b55ca93bd33211227b502b,0.0134,0.635,0.841,0.0,0.8585858585858586,0.0422,7BqBn9nzAq8spo5e7cZ0dJ,2010
6874,Wish You The Best,Lewis Capaldi,"pop, uk pop",Wish You The Best,single,2023-04-14,https://i.scdn.co/image/ab67616d00004851f4b2bcecd4647b0ba6f59e0b,0.588,0.678,0.48,0.0,0.8484848484848485,0.0298,3W5KHP0Yr56ejVDns9vci3,2023
6875,What Makes You Beautiful,One Direction,"boy band, pop, post-teen pop, talent show",Up All Night,album,2012-05-25,https://i.scdn.co/image/ab67616d00004851fd20e3d8ad722ecc509c3324,0.00761,0.729,0.771,0.0,0.010101010101010102,0.0725,3SPDQfj2UfWq6A2NllZnzn,2012
6876,All My Heroes - Radio Edit,Naeleck,electro,All My Heroes,single,2020-07-31,https://i.scdn.co/image/ab67616d000048513f611304c207d30e6c90cec3,0.287,0.609,0.668,0.0104,0.7070707070707071,0.0308,0TRmtiR9q6XnYDzXmoMpGC,2020
6879,Baby,Justin Bieber,"canadian pop, pop",My World 2.0,album,2010-01-01,https://i.scdn.co/image/ab67616d00004851629dc9e2e3bc20bbd7d92e4a,0.0401,0.728,0.859,0.0,0.8383838383838383,0.137,6epn3r7S14KUqlReYr77hA,2010
6880,I Gotta Feeling,Black Eyed Peas,"dance pop, pop, pop rap",THE E.N.D. (THE ENERGY NEVER DIES),album,2009-01-01,https://i.scdn.co/image/ab67616d00004851f051a314bb7eaa973c795176,0.0873,0.743,0.766,0.0,0.050505050505050504,0.0265,4vp2J1l5RD4gMZwGFLfRAu,2009
6881,Nothin' on You (feat. Bruno Mars),B.o.B,"atl hip hop, dance pop, pop rap, rap, southern hip hop",B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,https://i.scdn.co/image/ab67616d00004851484d121f0e2d2caf87d5d10b,0.386,0.688,0.853,0.0,0.7676767676767676,0.0493,59dLtGBS26x7kc0rHbaPrq,2010
6883,Through The Fire,Alex Alexander,scandipop,Through The Fire,single,2022-09-09,https://i.scdn.co/image/ab67616d000048516d9a02b5ee8461419b916072,0.00425,0.524,0.964,0.000341,0.5151515151515151,0.0502,2ML88ePNxtALsVHzg3rLjK,2022
6884,Scream & Shout,will.i.am,"dance pop, pop",#willpower,album,2013-01-01,https://i.scdn.co/image/ab67616d00004851e6082141bd7c86ae9f11ea26,0.019,0.772,0.685,8.96e-05,0.8080808080808081,0.0696,2iJuuzV8P9Yz0VSurttIV5,2013
6887,Rock Your Body,Justin Timberlake,"dance pop, pop",Justified,album,2002-11-04,https://i.scdn.co/image/ab67616d00004851346a5742374ab4cf9ed32dee,0.201,0.892,0.714,0.000234,0.797979797979798,0.141,1AWQoqb9bSvzTjaLralEkT,2002
6893,Toxic,Britney Spears,"dance pop, pop",Greatest Hits: My Prerogative,compilation,2004-01-01,https://i.scdn.co/image/ab67616d000048515028c2ac460025bffa43057e,0.0279,0.774,0.847,0.0183,0.5858585858585859,0.121,717TY4sfgKQm4kFbYQIzgo,2004
6895,Survivor,Destiny's Child,"dance pop, girl group, pop, r&b, urban contemporary",Survivor,album,2001-05-01,https://i.scdn.co/image/ab67616d00004851163cdae7f1e2c82786a84e3e,0.0559,0.514,0.911,0.0,0.7373737373737373,0.41,2Mpj1Ul5OFPyyP4wB62Rvi,2001
6898,Suga Suga,Baby Bash,"chicano rap, latin hip hop, pop rap, southern hip hop, texas latin rap, urban contemporary",Suga Suga,single,2003-01-01,https://i.scdn.co/image/ab67616d0000485176c514577df3ef745904a419,0.703,0.691,0.741,1.11e-05,0.6161616161616161,0.252,14B2bUopOga5V3ypld7d6n,2003
6899,Sk8er Boi,Avril Lavigne,"canadian pop, candy pop, pop",Let Go,album,2002-06-04,https://i.scdn.co/image/ab67616d00004851f7ec724fbf97a30869d06240,6.79e-05,0.487,0.9,0.0,0.7878787878787878,0.0482,00Mb3DuaIH1kjrwOku9CGU,2002
6901,In Da Club,50 Cent,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",Get Rich Or Die Tryin',album,2003-02-06,https://i.scdn.co/image/ab67616d00004851f7f74100d5cc850e01172cbf,0.26,0.902,0.72,0.0,0.7878787878787878,0.347,4RY96Asd9IefaL3X4LOLZ8,2003
6902,Cry Me a River,Justin Timberlake,"dance pop, pop",Justified,album,2002-11-04,https://i.scdn.co/image/ab67616d00004851346a5742374ab4cf9ed32dee,0.577,0.624,0.654,0.0,0.7777777777777778,0.183,7Lf7oSEVdzZqTA0kEDSlS5,2002
6904,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",Epiphany,album,2007-06-05,https://i.scdn.co/image/ab67616d00004851aad32187513cd6916ddd3c87,0.0108,0.451,0.55,0.0,0.010101010101010102,0.262,2aIdVb8v9KTpEZnftkz2mD,2007
6908,Glamorous,Fergie,"dance pop, pop",The Dutchess,album,2006-09-13,https://i.scdn.co/image/ab67616d000048510283b8c1365d34315f5807bf,0.291,0.81,0.755,0.0,0.7272727272727273,0.199,4KTtYhxFtFL7mBwnjkKfLm,2006
6917,Shake It,Metro Station,"electropowerpop, neon pop punk, pixie, pop punk",Metro Station,album,2007-09-18,https://i.scdn.co/image/ab67616d00004851bcd25f2bbe505682863c3df2,0.00221,0.618,0.955,3.09e-06,0.696969696969697,0.0798,5619Ojc6t9evEEs3B7Drhe,2007
6918,Mirrors - Radio Edit,Justin Timberlake,"dance pop, pop",Mirrors (Radio Edit),single,2013-02-11,https://i.scdn.co/image/ab67616d00004851187d11964b2d17c5227bbcef,0.144,0.578,0.6,0.0,0.6464646464646465,0.0455,6ToFxXRBtl5TJFEyIoYK3f,2013
6920,Classic,MKTO,"pop, post-teen pop",MKTO,album,2012-01-01,https://i.scdn.co/image/ab67616d000048519474419f15773875a495eed3,0.0384,0.72,0.791,0.0,0.8383838383838383,0.124,6FE2iI43OZnszFLuLtvvmg,2012
6921,Sweater Weather,The Neighbourhood,"modern alternative rock, modern rock, pop, pov: indie",I Love You.,album,2013-04-19,https://i.scdn.co/image/ab67616d000048518265a736a1eb838ad5a0b921,0.0495,0.612,0.807,0.0177,0.9191919191919192,0.0336,2QjOHCTQ1Jl3zawyYOpxh6,2013
6925,Suit & Tie (feat. JAY Z) (feat. Jay-Z) - [Radio Edit],Justin Timberlake,"dance pop, pop",Suit & Tie (feat. JAY Z) (feat. Jay-Z) [Radio Edit],single,2013-01-15,https://i.scdn.co/image/ab67616d000048518dc9d296e7d01f44d9d3f588,0.0927,0.797,0.611,1.37e-06,0.6060606060606061,0.183,4mQVHEjrnuUd7G5IVhSYTk,2013
6926,We Can't Stop,Miley Cyrus,pop,Bangerz (Deluxe Version),album,2013-10-04,https://i.scdn.co/image/ab67616d000048516b18d0490878750cd69abf2c,0.00882,0.613,0.622,0.0,0.8181818181818182,0.0334,2y4lAQpi5VTNLu2ldeTdUH,2013
6929,Since U Been Gone,Kelly Clarkson,"dance pop, pop, talent show",Greatest Hits - Chapter One,compilation,2012-11-19,https://i.scdn.co/image/ab67616d000048517c5196593b6ab9382a794d26,0.00193,0.661,0.76,0.0589,0.5151515151515151,0.0334,04B9ThftHDqviE4uaUJMf1,2012
6930,Halo,Beyoncé,"pop, r&b",I AM...SASHA FIERCE,album,2008-11-17,https://i.scdn.co/image/ab67616d00004851801c4d205accdba0a468a10b,0.272,0.508,0.72,0.0,0.7777777777777778,0.0628,4JehYebiI9JE8sR8MisGVb,2008
6932,Bartender (feat. Akon),T-Pain,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",Epiphany,album,2007-06-05,https://i.scdn.co/image/ab67616d00004851aad32187513cd6916ddd3c87,0.0611,0.675,0.394,0.0,0.0,0.133,5kxddRG1RZaZROadk7iC4D,2007
6933,Bust Your Windows - Cover of Jazmine Sullivan,Glee Cast,"glee club, post-teen pop","Glee: The Music, Volume 1",album,2009-11-02,https://i.scdn.co/image/ab67616d000048512c20ffc2c9c82c75e67fb006,0.606,0.409,0.774,1.63e-06,0.5858585858585859,0.122,3ubGHUhPi5x7RSHqWXseq8,2009
6935,Just Give Me a Reason (feat. Nate Ruess),P!nk,"dance pop, pop",The Truth About Love,album,2012-09-18,https://i.scdn.co/image/ab67616d000048519d0f0d226987b449808e7b6f,0.346,0.778,0.547,0.000302,0.8383838383838383,0.0489,1mKXFLRA179hdOWQBwUk9e,2012
6936,Fell In Love With a Girl,The White Stripes,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock",White Blood Cells,album,2001-07-03,https://i.scdn.co/image/ab67616d00004851c6084929566743530de8c721,0.713,0.356,0.982,0.00145,0.7474747474747475,0.112,21Qsj3cMVCx2xF2EVVNbEu,2001
6937,Uptown Funk (feat. Bruno Mars),Mark Ronson,pop soul,Uptown Special,album,2015-01-12,https://i.scdn.co/image/ab67616d00004851e419ccba0baa8bd3f3d7abf2,0.00801,0.856,0.609,8.15e-05,0.8585858585858586,0.0824,32OlwWuMpZ6b0aN2RZOeMS,2015
6938,Beautiful,Christina Aguilera,"dance pop, pop",Stripped,album,2002-07-19,https://i.scdn.co/image/ab67616d000048517cd872c7701c4737b2f81d87,0.578,0.456,0.573,3.05e-06,0.7272727272727273,0.0275,3TCauNPqFiniaYHBvEVoHG,2002
6940,Shape of My Heart,Backstreet Boys,"boy band, dance pop, pop",Black & Blue,album,2000-11-21,https://i.scdn.co/image/ab67616d00004851cf871e6326e334bfa92cff20,0.252,0.575,0.786,0.0,0.7474747474747475,0.0296,35o9a4iAfLl5jRmqMX9c1D,2000
6941,Ke Shy,Major Lazer,"dance pop, edm, electro house, moombahton, pop, pop dance",Piano Republik,album,2023-03-24,https://i.scdn.co/image/ab67616d00004851b3e1497b7962c406410bf4e6,0.235,0.834,0.648,0.0806,0.5454545454545454,0.0492,71X7xhERhWY7k4I2ST3A1F,2023
6945,Dirrty (feat. Redman),Christina Aguilera,"dance pop, pop",Stripped,album,2002-07-19,https://i.scdn.co/image/ab67616d000048517cd872c7701c4737b2f81d87,0.107,0.64,0.889,0.0,0.7070707070707071,0.322,59ZTxQo8rBycIXPLUIKvE2,2002
6946,SOS,Rihanna,"barbadian pop, pop, urban contemporary",A Girl Like Me,album,2006-04-10,https://i.scdn.co/image/ab67616d00004851d744a51e193d52170070062b,0.004,0.677,0.671,5.07e-05,0.7878787878787878,0.0361,30cSNer6TV8x2utjULVeQ5,2006
6947,Get Another Boyfriend,Backstreet Boys,"boy band, dance pop, pop",Black & Blue,album,2000-11-21,https://i.scdn.co/image/ab67616d00004851cf871e6326e334bfa92cff20,0.0323,0.738,0.75,0.0,0.5656565656565656,0.135,3nx5PkGa2sJyXVJzqE4eYM,2000
6950,Hey Ma,Cam’ron,"battle rap, east coast hip hop, harlem hip hop, southern hip hop",Come Home With Me,album,2002-01-01,https://i.scdn.co/image/ab67616d00004851df5352d458100973dbb329cc,0.0293,0.771,0.673,2.97e-06,0.6262626262626263,0.366,2fE1hcjUxlLxXrZusTEJlq,2002
6951,A Milli,Lil Wayne,"hip hop, new orleans rap, pop rap, rap, trap",Tha Carter III,album,2008-06-10,https://i.scdn.co/image/ab67616d0000485133ebdffaa447ff19ce9f24bb,0.0387,0.674,0.695,0.00202,0.7272727272727273,0.278,6ScJMrlpiLfZUGtWp4QIVt,2008
6955,What You Know,T.I.,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",King,album,2006-03-26,https://i.scdn.co/image/ab67616d00004851d5fa46459e5489190606f47f,0.0155,0.551,0.81,0.0,0.6767676767676768,0.0344,0CAJdthKDdRjB2h8YOguN6,2006
6957,Country Grammar (Hot Shit),Nelly,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",Country Grammar,album,2000-06-27,https://i.scdn.co/image/ab67616d00004851a7ad64a69a42647de9dd0dad,0.00689,0.865,0.664,0.0,0.7171717171717171,0.108,3wMUvT6eIw2L5cZFG1yH9j,2000
6958,The Way You Move (feat. Sleepy Brown),Outkast,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",Speakerboxxx/The Love Below,album,2003-01-01,https://i.scdn.co/image/ab67616d000048516a6387ab37f64034cdc7b367,0.126,0.871,0.597,0.000113,0.7171717171717171,0.0464,5z7mYFfhw6N6f23VwrokJD,2003
6959,It's Goin' Down (feat. Nitti),Yung Joc,"atl hip hop, crunk, dirty south rap, southern hip hop, trap",New Joc City,album,2006-06-06,https://i.scdn.co/image/ab67616d00004851d5acd56d860b2481e9cbd3e1,0.0986,0.888,0.577,0.0,0.6868686868686869,0.0612,05Sgj1Hx03ZXc57gsV1kfX,2006
6963,Best I Ever Had,Drake,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",So Far Gone,album,2009-01-01,https://i.scdn.co/image/ab67616d0000485154ef13c30a024a7f1ba79efd,0.19,0.395,0.922,0.0,0.797979797979798,0.375,3QLjDkgLh9AOEHlhQtDuhs,2009
6964,Oh Boy,Cam’ron,"battle rap, east coast hip hop, harlem hip hop, southern hip hop",Come Home With Me,album,2002-01-01,https://i.scdn.co/image/ab67616d00004851df5352d458100973dbb329cc,0.0237,0.758,0.768,0.0,0.6666666666666666,0.174,4X1odWLrLSSahaK6Hi15AA,2002
6969,Can't Tell Me Nothing,Kanye West,"chicago rap, hip hop, rap",Graduation,album,2007-09-11,https://i.scdn.co/image/ab67616d0000485126f7f19c7f0381e56156c94a,0.0122,0.596,0.62,0.0,0.8080808080808081,0.039,0mEdbdeRFQwBhN4xfyIeUM,2007
6970,Drop It Like It's Hot,Snoop Dogg,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",R&G (Rhythm & Gangsta): The Masterpiece,album,2004-01-01,https://i.scdn.co/image/ab67616d00004851e803716268c173c3f9a0c057,0.19,0.888,0.632,0.0,0.7878787878787878,0.219,2NBQmPrOEEjA8VbeWOQGxO,2004
6972,Ride Wit Me,Nelly,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",Country Grammar,album,2000-06-27,https://i.scdn.co/image/ab67616d00004851a7ad64a69a42647de9dd0dad,0.0616,0.85,0.7,1.8e-06,0.7878787878787878,0.0478,3Gf5nttwcX9aaSQXRWidEZ,2000
6973,How We Do,The Game,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap",The Documentary,album,2005-01-01,https://i.scdn.co/image/ab67616d00004851b1d860ab1ba847e778b2796d,0.0455,0.862,0.648,0.0,0.7878787878787878,0.251,4PmMVdIFpJTB9WQbmILf4p,2005
6974,Live Your Life,T.I.,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",Paper Trail,album,2008-09-07,https://i.scdn.co/image/ab67616d00004851b6d4478c6f91f1cb2d326c78,0.071,0.375,0.862,0.0,0.7878787878787878,0.255,3jlbL2OTD5YmIunYzgQTAN,2008
6975,Let Me Blow Ya Mind,Eve,"contemporary r&b, dance pop, hip pop, philly rap, r&b, urban contemporary",Scorpion,album,2001-01-01,https://i.scdn.co/image/ab67616d000048510a825fea8b9095572e5130ef,0.242,0.908,0.557,0.0,0.7777777777777778,0.107,3RmKpob8xzv1pzHEQrMJah,2001
6977,Good Life,Kanye West,"chicago rap, hip hop, rap",Graduation,album,2007-09-11,https://i.scdn.co/image/ab67616d0000485126f7f19c7f0381e56156c94a,0.00305,0.439,0.808,0.0,0.7777777777777778,0.346,4ZPdLEztrlZqbJkgHNw54L,2007
6978,Hot In Herre,Nelly,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",Nellyville,album,2002-06-25,https://i.scdn.co/image/ab67616d00004851a8b9f97b9ea065b9a857e93f,0.206,0.956,0.745,0.0,0.7878787878787878,0.12,04KTF78FFg8sOHC1BADqbY,2002
6979,Cleanin' Out My Closet,Eminem,"detroit hip hop, hip hop, rap",The Eminem Show,album,2002-05-26,https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4,0.0687,0.908,0.758,0.0,0.7676767676767676,0.174,7BMO7O7ImjV8HNTH74Tshv,2002
6980,21 Questions,50 Cent,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",Get Rich Or Die Tryin',album,2003-02-06,https://i.scdn.co/image/ab67616d00004851f7f74100d5cc850e01172cbf,0.353,0.576,0.807,0.000363,0.7676767676767676,0.317,41bIQPBE1lFN0mmw6Lmssz,2003
6981,"So Fresh, So Clean",Outkast,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",Stankonia,album,2000-10-31,https://i.scdn.co/image/ab67616d000048512350e31bc346a6c20e9de166,0.0281,0.725,0.64,0.0,0.7575757575757576,0.332,6glsMWIMIxQ4BedzLqGVi4,2000
6982,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap",It Ain't Safe No More. . .,album,2002-11-26,https://i.scdn.co/image/ab67616d00004851ac8e6d7dae57f0c1c87e230c,0.0142,0.648,0.759,0.0,0.7474747474747475,0.306,0YImOCkIJ2PWhCXaURCZnY,2002
6983,Through The Wire,Kanye West,"chicago rap, hip hop, rap",The College Dropout,album,2004-02-10,https://i.scdn.co/image/ab67616d0000485125b055377757b3cdd6f26b78,0.00865,0.571,0.739,5.21e-06,0.7676767676767676,0.247,4mmkhcEm1Ljy1U9nwtsxUo,2004
6984,Down And Out,Cam’ron,"battle rap, east coast hip hop, harlem hip hop, southern hip hop",Purple Haze,album,2004-01-01,https://i.scdn.co/image/ab67616d0000485141378d36f9f76bc8e6950f89,0.0232,0.74,0.841,0.0,0.6060606060606061,0.237,5mEwhCsqadBZIE7SSrv1gC,2004
6986,Lollipop,Lil Wayne,"hip hop, new orleans rap, pop rap, rap, trap",Tha Carter III,album,2008-06-10,https://i.scdn.co/image/ab67616d0000485133ebdffaa447ff19ce9f24bb,0.056,0.829,0.428,0.00413,0.7272727272727273,0.0831,4P7VFiaZb3xrXoqGwZXC3J,2008
6987,Work It,Missy Elliott,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",Under Construction,album,2002-11-11,https://i.scdn.co/image/ab67616d0000485195d8583bba8f3cd794fa5bae,0.0778,0.884,0.677,0.0,0.7272727272727273,0.283,3jagJCUbdqhDSPuxP8cAqF,2002
6988,Hustlin',Rick Ross,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap",Port Of Miami,album,2006-01-01,https://i.scdn.co/image/ab67616d0000485121be37e939cfb51144465d40,0.0848,0.502,0.652,0.0,0.7070707070707071,0.3,3hQCHzkE5oSA3F1xM8bpcM,2006
6989,Put On,Jeezy,"atl hip hop, crunk, dirty south rap, gangster rap, old school atlanta hip hop, rap, southern hip hop, trap",The Recession,album,2008-01-01,https://i.scdn.co/image/ab67616d00004851fb03f374f2e6bb50b48af91a,0.00342,0.654,0.77,0.0,0.7070707070707071,0.0353,5dANgSy7v091dhiPnEXNrf,2008
6990,Break Ya Neck,Busta Rhymes,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap",Genesis,album,2001-11-07,https://i.scdn.co/image/ab67616d00004851075418a1fafdfd7a455941dd,0.443,0.82,0.809,0.00175,0.7171717171717171,0.251,7gKgd0P3dAAePiSQQBqrlf,2001
6991,Right Thurr,Chingy,"crunk, dirty south rap, hip pop, pop rap, r&b, southern hip hop",Jackpot,album,2003-01-01,https://i.scdn.co/image/ab67616d00004851f9aefc986924f7e9e5e71b74,0.15,0.866,0.749,0.0,0.7070707070707071,0.253,0l3GEbH3CviUytD6iX4wzg,2003
6992,Snap Yo Fingers,Lil Jon,"atl hip hop, crunk, dance pop, dirty south rap, old school atlanta hip hop, pop rap, southern hip hop, trap",Snap Yo Fingers - Single,single,2006-05-02,https://i.scdn.co/image/ab67616d00004851aa119fab1d342e3a7e4ddb2c,0.00647,0.835,0.757,0.0,0.696969696969697,0.23,6o3s08kk2fQI37vxGZDrJ1,2006
6993,Beautiful,Snoop Dogg,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",Paid Tha Cost To Be Da Bo$$,album,2002-01-01,https://i.scdn.co/image/ab67616d000048518cdb0d29bb99ad4febccac39,0.246,0.907,0.695,0.0,0.696969696969697,0.135,7FrJV8tydWEv1Mxu2mIQrm,2002
6994,Lean Back,Terror Squad,"bronx hip hop, dirty south rap, hardcore hip hop, hip pop, southern hip hop",True Story,album,2004-01-01,https://i.scdn.co/image/ab67616d000048512e49046fecfba5be6bc7b92a,0.11,0.783,0.916,0.0,0.6868686868686869,0.415,2Ozc0me9PV5vlt8cokwdvI,2004
6995,Get Ur Freak On,Missy Elliott,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",Miss E... So Addictive,album,2001-05-14,https://i.scdn.co/image/ab67616d000048512e3969990abe1229c0879a7b,0.533,0.797,0.75,0.108,0.7171717171717171,0.247,6zsk6uF3MxfIeHPlubKBvR,2001
6996,Overnight Celebrity,Twista,"chicago rap, dirty south rap, gangster rap, trap",Kamikaze,album,2004-01-27,https://i.scdn.co/image/ab67616d000048516f9fccd094fd20004223ceb4,0.182,0.828,0.792,0.0,0.6868686868686869,0.179,2tOZtdbkAMQASWokLvSlzj,2004
6997,Soul Survivor,Jeezy,"atl hip hop, crunk, dirty south rap, gangster rap, old school atlanta hip hop, rap, southern hip hop, trap",Let's Get It: Thug Motivation 101,album,2005-01-01,https://i.scdn.co/image/ab67616d00004851e647a3be0956a5d9769f0444,0.00103,0.682,0.483,0.0,0.6868686868686869,0.0451,0Ss50OU9tCozI7JIywkv14,2005
6998,Hypnotized (feat. Akon),Plies,"dirty south rap, miami hip hop, southern hip hop, trap",The Real Testament,album,2007-08-06,https://i.scdn.co/image/ab67616d000048512d9f3326c45a2733eea2164f,0.16,0.84,0.571,0.0,0.6868686868686869,0.0797,3LN41NUdHkyNqQhi9gExMm,2007
6999,Let's Go (feat. Twista & Lil' Jon),Trick Daddy,"crunk, dirty south rap, miami hip hop, southern hip hop",Thug Matrimony: Married to the Streets,album,2004-10-26,https://i.scdn.co/image/ab67616d000048519e3bc0ca77a4a1233fe8ade2,0.0267,0.748,0.767,0.0,0.6767676767676768,0.172,1fLibtVj3MrNTwRZq5yUOs,2004
7000,What's Your Fantasy (Featuring Shawna),Ludacris,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",Back For The First Time,album,2000-01-01,https://i.scdn.co/image/ab67616d0000485184095c1ebcc1f46cb8cf1526,0.16,0.915,0.79,0.0,0.6767676767676768,0.207,4LwOrnuxJwR7C5Sw4liY4Z,2000
7001,Int'l Players Anthem (I Choose You) (feat. Outkast),UGK,dirty south rap,UGK (Underground Kingz),album,2007-08-07,https://i.scdn.co/image/ab67616d000048510ecd0dec7edf87dab40d19b7,0.0655,0.675,0.68,0.0,0.6767676767676768,0.256,4ns1XFP3W5JPyzvnAjMdHD,2007
7002,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",The Cookbook,album,2005-07-04,https://i.scdn.co/image/ab67616d00004851f1dfae21eaac0d24fb3dcf5a,0.0311,0.904,0.813,0.00697,0.696969696969697,0.121,0UaMYEvWZi0ZqiDOoHU3YI,2005
7003,Dirt Off Your Shoulder,JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",The Black Album,album,2003-11-14,https://i.scdn.co/image/ab67616d00004851c528802c308a1e0e4d9945dd,0.0321,0.78,0.657,2.56e-06,0.6767676767676768,0.317,3IrkbGQCoEPAkzJ0Tkv8nm,2003
7004,Bring Em Out,T.I.,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",Urban Legend,album,2004-11-28,https://i.scdn.co/image/ab67616d00004851dfe8fee228a1aa9476bced26,0.0298,0.759,0.891,0.0,0.6767676767676768,0.257,3CcvahnsiArpTHYQEWV2Au,2004
7005,Put It On Me,Ja Rule,"dance pop, east coast hip hop, gangster rap, hip hop, hip pop, pop rap, queens hip hop, rap, urban contemporary",Rule 3:36,album,2000-01-01,https://i.scdn.co/image/ab67616d0000485132f842df5bf97184ea909ab2,0.0024,0.831,0.79,0.0,0.6767676767676768,0.165,0OvwzS8FX73Bw7ykMRmffU,2000
7006,I'm Goin In,Drake,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",I'm Goin In,single,2009-09-15,https://i.scdn.co/image/ab67616d00004851950eb267e96cd35da58b1d1c,0.0389,0.662,0.763,0.0,0.6666666666666666,0.377,5aooThgj87ID0vgiyvcjPM,2009
7007,Still Fly,Big Tymers,"crunk, dirty south rap, new orleans rap",Hood Rich,album,2002-01-01,https://i.scdn.co/image/ab67616d00004851fc062563e34cfd4ab2bc0f00,0.0302,0.675,0.607,8.97e-06,0.6666666666666666,0.162,563vSy3HB5NHxel1VGQCW6,2002
7008,Slow Motion,JUVENILE,"bounce, crunk, dirty south rap, new orleans rap, southern hip hop, trap",Juve The Great,album,2003-01-01,https://i.scdn.co/image/ab67616d000048518c81ea1e2070707583075f36,0.548,0.713,0.734,0.0,0.6666666666666666,0.325,6ihObRBTB8xdSH2mlERtOX,2003
