,Track,Artist,Genre,Album Title,Album Type,Release Date,Thumbnail,Acousticness,Danceability,Energy,Instrumentalness,Popularity,Speechiness,Track ID,Release Year
1535,On a Carousel,The Hollies,"album rock, british invasion, classic rock, folk rock, mellow gold, merseybeat, soft rock",The Best of the Hollies,compilation,1986-03-01,https://i.scdn.co/image/ab67616d0000485195e93a95c2e6977fc9a4d2ad,0.133,0.588,0.562,2.05e-05,0.020202020202020204,0.0294,16hDBrsTP44kMeWAy3oSb6,1986
1536,The Air That I Breathe,The Hollies,"album rock, british invasion, classic rock, folk rock, mellow gold, merseybeat, soft rock",The Air That I Breathe - The Very Best of the Hollies,compilation,1993-03-22,https://i.scdn.co/image/ab67616d00004851f4d30f8432920dda21183ce6,0.257,0.275,0.403,0.000526,0.47474747474747475,0.0302,1ovu8lOVW8uD5FjWICAxpy,1993
1537,Look Through Any Window,The Hollies,"album rock, british invasion, classic rock, folk rock, mellow gold, merseybeat, soft rock",The Air That I Breathe - The Very Best of the Hollies,compilation,1993-03-22,https://i.scdn.co/image/ab67616d00004851f4d30f8432920dda21183ce6,0.0722,0.491,0.774,0.00159,0.25252525252525254,0.0326,3PWGOe61M4iHWPkhOo0yoT,1993
1538,"Help Me, Rhonda",The Beach Boys,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",50 Big Ones: Greatest Hits,compilation,2012-01-01,https://i.scdn.co/image/ab67616d00004851f6de355783e42c7c357cfc93,0.106,0.519,0.707,1.21e-06,0.4444444444444444,0.0332,4qvdAp6MMl59RjaTOti9QD,2012
1539,In the Midnight Hour,Wilson Pickett,"classic soul, memphis soul, soul, southern soul",In the Midnight Hour,album,1965-01-01,https://i.scdn.co/image/ab67616d00004851cb87f62b98324304cfbb7de9,0.12,0.75,0.444,3.69e-06,0.6767676767676768,0.0403,4NRQwaks9r58tTDvr4iEyv,1965
1541,Break It To Me Gently,Brenda Lee,"adult standards, easy listening, lounge, rockabilly","...""Let Me Sing""",album,1963-09-12,https://i.scdn.co/image/ab67616d00004851cded466441e8944ca9fbe43d,0.588,0.539,0.26,0.0,0.6060606060606061,0.0268,5JccvAiwcZ7n3urnXqWPsG,1963
1543,Something - Remastered 2009,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",Abbey Road (Remastered),album,1969-09-26,https://i.scdn.co/image/ab67616d00004851dc30583ba717007b00cceb25,0.198,0.396,0.338,2.62e-06,0.7474747474747475,0.0304,0pNeVovbiZHkulpGeOx1Gj,1969
1549,These Arms of Mine,Otis Redding,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",Pain in My Heart,album,1964-01-01,https://i.scdn.co/image/ab67616d00004851cd404b5ae961b29d83f17c1f,0.798,0.403,0.284,0.0,0.6868686868686869,0.0338,4skknrc3sJqaPTtUr2cwFq,1964
1551,"Here, There And Everywhere - Remastered 2009",The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",Revolver (Remastered),album,1966-08-05,https://i.scdn.co/image/ab67616d0000485128b8b9b46428896e6491e97a,0.921,0.29,0.247,0.00565,0.6868686868686869,0.0383,2B4Y9u4ERAFiMo13XPJyGP,1966
1552,Crazy - Single Version,Patsy Cline,nashville sound,Showcase,album,1961-11-27,https://i.scdn.co/image/ab67616d000048516fda96b0954b958ee44c8efc,0.931,0.471,0.021,1.19e-06,0.6767676767676768,0.0366,3zpj9dvJABiyMrmLCPw6i8,1961
